name ,team,image,
Mohammad Rizwan,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Rizwan%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Babar Azam,Pakistan,https://nuvuniversity-my.sharepoint.com/:i:/g/personal/chopda_m_parshottambhai_nuv_ac_in/IQDpgQuqQIfSSauTXxzHtNXbATERhM_kiGwU5pukJOeJWMw?e=3s6DEM ,done 
Shan Masood,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FShan%20Masood%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Iftikhar Ahmed,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FIftikhar%20Ahmed%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Shadab Khan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320467.png",
Haider Ali,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FHaider%20Ali%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Mohammad Nawaz,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FMohammad%20Nawaz%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Asif Ali,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FAsif%20Ali%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
Shaheen Shah Afridi,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png",
Haris Rauf,Pakistan,https://nuvuniversity-my.sharepoint.com/personal/chopda_m_parshottambhai_nuv_ac_in/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages%2FHaris%20Rauf%2Ejpg&parent=%2Fpersonal%2Fchopda%5Fm%5Fparshottambhai%5Fnuv%5Fac%5Fin%2FDocuments%2Ft20%5Fproject%5Fimages&ga=1 ,done 
